feature,importance
client_cash_CNT_INSTALMENT_max_mean,3.8
client_cash_CNT_INSTALMENT_min_sum,3.2
client_cash_CNT_INSTALMENT_sum_max,8.0
client_cash_CNT_INSTALMENT_sum_min,9.200000000000001
client_cash_CNT_INSTALMENT_sum_sum,2.6
client_cash_CNT_INSTALMENT_FUTURE_mean_mean,26.199999999999996
client_cash_CNT_INSTALMENT_FUTURE_mean_max,50.2
client_cash_CNT_INSTALMENT_FUTURE_mean_min,9.8
client_cash_CNT_INSTALMENT_FUTURE_max_mean,6.2
client_cash_CNT_INSTALMENT_FUTURE_min_mean,21.0
client_cash_CNT_INSTALMENT_FUTURE_min_max,47.2
client_cash_CNT_INSTALMENT_FUTURE_sum_min,4.0
client_cash_CNT_INSTALMENT_FUTURE_sum_sum,4.199999999999999
client_cash_SK_DPD_mean_min,8.6
client_cash_SK_DPD_DEF_max_mean,39.2
client_cash_SK_DPD_DEF_max_max,7.6000000000000005
client_installments_NUM_INSTALMENT_VERSION_count_mean,3.8000000000000003
client_installments_NUM_INSTALMENT_VERSION_mean_mean,16.4
client_installments_NUM_INSTALMENT_VERSION_mean_max,22.6
client_installments_NUM_INSTALMENT_VERSION_mean_sum,3.4000000000000004
client_installments_NUM_INSTALMENT_VERSION_max_mean,10.8
client_installments_NUM_INSTALMENT_VERSION_max_sum,7.0
client_installments_NUM_INSTALMENT_VERSION_min_mean,8.200000000000001
client_installments_NUM_INSTALMENT_VERSION_sum_mean,13.0
client_installments_NUM_INSTALMENT_VERSION_sum_max,4.8
client_installments_NUM_INSTALMENT_VERSION_sum_sum,6.6
client_installments_NUM_INSTALMENT_NUMBER_mean_mean,6.6
client_installments_NUM_INSTALMENT_NUMBER_mean_max,3.6
client_installments_NUM_INSTALMENT_NUMBER_mean_min,8.2
client_installments_NUM_INSTALMENT_NUMBER_min_sum,7.200000000000001
client_installments_DAYS_INSTALMENT_mean_mean,3.2
client_installments_DAYS_INSTALMENT_max_mean,4.4
client_installments_DAYS_INSTALMENT_max_min,2.2
client_installments_DAYS_INSTALMENT_max_sum,5.8
client_installments_DAYS_INSTALMENT_min_mean,4.8
client_installments_DAYS_INSTALMENT_min_min,10.200000000000001
client_installments_DAYS_INSTALMENT_sum_mean,6.0
client_installments_DAYS_INSTALMENT_sum_min,12.8
client_installments_DAYS_ENTRY_PAYMENT_mean_mean,7.2
client_installments_DAYS_ENTRY_PAYMENT_mean_min,4.6
client_installments_DAYS_ENTRY_PAYMENT_max_mean,4.199999999999999
client_installments_DAYS_ENTRY_PAYMENT_min_mean,5.6
client_installments_DAYS_ENTRY_PAYMENT_min_min,3.8000000000000003
client_installments_DAYS_ENTRY_PAYMENT_sum_mean,7.2
client_installments_DAYS_ENTRY_PAYMENT_sum_min,8.8
client_installments_AMT_INSTALMENT_mean_mean,4.800000000000001
client_installments_AMT_INSTALMENT_mean_max,14.4
client_installments_AMT_INSTALMENT_mean_min,6.4
